table_num,table_name,Item,fiber,period,period_name,value,unit
1,"U.S. textile imports, by fiber",Apparel,Wool,2022,calendar year,333688625,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,2023,calendar year,283718310,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,2024,calendar year,276126702,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Wool,2025,calendar year,269807364,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,1989,calendar year,79166971,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,1990,calendar year,70812369,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,1991,calendar year,78266795,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,1992,calendar year,108427208,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,1993,calendar year,168980494,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,1994,calendar year,171037247,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,1995,calendar year,134712200,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,1996,calendar year,131741743,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,1997,calendar year,142301266,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,1998,calendar year,144308364,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,1999,calendar year,151101968,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,2000,calendar year,173456785,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,2001,calendar year,170234794,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,2002,calendar year,167587858,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,2003,calendar year,194471801,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,2004,calendar year,245124690,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,2005,calendar year,214197988,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,2006,calendar year,191328874,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,2007,calendar year,171130861,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,2008,calendar year,143761687,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,2009,calendar year,102894395,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,2010,calendar year,110865980,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,2011,calendar year,110094930,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,2012,calendar year,101826542,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,2013,calendar year,101071184,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,2014,calendar year,106222303,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,2015,calendar year,103501431,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,2016,calendar year,98829047,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,2017,calendar year,98863447,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,2018,calendar year,104570765,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,2019,calendar year,117780909,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,2020,calendar year,122196667,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,2021,calendar year,136470878,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,2022,calendar year,190839418,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,2023,calendar year,211048643,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,2024,calendar year,264026823,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Silk,2025,calendar year,257194019,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,1989,calendar year,1199929910,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,1990,calendar year,1200409121,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,1991,calendar year,1199129517,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,1992,calendar year,1343348356,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,1993,calendar year,1425436953,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,1994,calendar year,1599975123,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,1995,calendar year,1688249332,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,1996,calendar year,1751192953,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,1997,calendar year,2110651844,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,1998,calendar year,2402466604,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,1999,calendar year,2595293378,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,2000,calendar year,2982807537,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,2001,calendar year,3072548603,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,2002,calendar year,3193532042,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,2003,calendar year,3559524295,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,2004,calendar year,3682524084,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,2005,calendar year,3917582991,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,2006,calendar year,4013749375,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,2007,calendar year,4135419159,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,2008,calendar year,3885035859,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,2009,calendar year,3643891615,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,2010,calendar year,4207364017,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,2011,calendar year,4217941318,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,2012,calendar year,4255999174,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Apparel,Synthetic,2013,calendar year,4438550206,raw fiber equivalent pounds
